Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
GJA1	66.66506234897498	6.315401654259153	0.9842282948589046	4.34911657396442e-11	2.0560213896210668e-9	TRUE
MMP2	80.73109668257551	6.311003217531297	0.687749064311645	1.3671268776806775e-20	5.2432913461363674e-18	TRUE
C11orf96	21.204470182144874	6.30136534477859	0.8555971664617801	1.562488158729305e-14	1.7164599818081073e-12	TRUE
RP1-142L7.8	0.8734368328079083	6.271717477899758	1.948035782513155	0.024986875431528915	0.07643969826597448	FALSE
DNM3OS	4.278917195435624	6.270979301128295	1.2215063186343684	3.8311730578781e-8	8.652197749821606e-7	TRUE
RGS7BP	1.8051035306111487	6.260208213122365	1.7453697395228833	3.6626592300763596e-5	3.406293176681033e-4	TRUE
SFTA1P	11.796222026846351	6.2597567685987485	0.9067503936280559	3.6962936426213426e-13	2.875611221400184e-11	TRUE
S100A16	97.82508037505966	6.2593552919942805	0.7016624995358517	1.315443994090726e-19	3.9940168270579666e-17	TRUE
SLIT2	9.22835873321842	6.252384230034043	0.9802585875461316	1.630608422194585e-11	8.652119106212578e-10	TRUE
NDUFA4L2	184.87949088712344	6.245191061348393	0.8585028308740817	8.742648543230375e-14	7.737774890832358e-12	TRUE
EFEMP1	17.67644520792162	6.236602987130918	1.1230490538234255	5.027704867158215e-9	1.455770279482725e-7	TRUE
KIRREL	4.259401794427864	6.2176922358295705	1.1722380272358477	7.192709028410778e-9	1.9903773679757978e-7	TRUE
CCL2	164.80333569423166	6.208978777422012	1.0671485687300466	1.4305271822504698e-9	4.688568925214021e-8	TRUE
GLT8D2	13.661640128081517	6.199447849847891	0.848776877446468	3.299804009124988e-14	3.293927645821067e-12	TRUE
C7	36.81940277076852	6.1900899469518755	0.9514937313498825	1.8367924797053593e-11	9.537795819201629e-10	TRUE
EGFLAM	11.494439298629441	6.184393268409495	0.9800172895783436	1.9304327543541848e-11	9.976640766651734e-10	TRUE
NPR1	7.022929849740468	6.183640843504137	1.241584369988078	6.242007327052706e-8	1.3312831431873095e-6	TRUE
AOC3	11.305221968973672	6.176668921461077	0.8333441148196452	8.78155595256619e-15	1.0211361419098378e-12	TRUE
CCL26	9.429024563431309	6.129826003822049	1.7159371339798535	1.2744298197134437e-4	9.939461394490043e-4	TRUE
AC092484.1	15.520465167283845	6.12424008867274	1.8482466092942753	2.0094663422255853e-4	0.001453638110767489	TRUE
PRRX2	3.675747300009792	6.111808236129629	1.4325691470879824	2.788849184947736e-6	3.724314724016033e-5	TRUE
DIO2	17.837393729617123	6.076403762749465	1.7161755522513553	7.438435842058524e-5	6.293020353840612e-4	TRUE
CHST1	2.0736214770493127	6.0720558221537795	1.1567165086708135	9.587896235277159e-5	7.812187834491016e-4	TRUE
UNC5B	30.813765918032196	6.0716902587107935	0.667516426521102	1.5652526215158295e-20	5.7996589082978896e-18	TRUE
ITGBL1	8.20040003622692	6.049122504778717	0.9994752219479158	1.4474044350771742e-10	6.004119232489963e-9	TRUE
TBX15	4.78155833314346	6.041963886083306	1.3655837821608674	7.802252982229811e-7	1.2315166241482016e-5	TRUE
MEDAG	7.081317391030529	6.040487308714378	1.183864918801556	6.894214506017773e-8	1.4604110786439392e-6	TRUE
ALPL	40.278233138703484	6.0230308372158445	0.7682751245251611	1.5581039778396325e-15	2.142245978588189e-13	TRUE
KIAA1462	21.338808392160747	6.012440174441369	0.8444660625425695	2.538472591909975e-13	2.078410087331235e-11	TRUE
TAGLN	681.1842805633669	5.996690470889593	0.5346062712331483	9.910685824376935e-30	2.1665750280670415e-26	TRUE
ACTC1	4.156334615946651	5.955539908897452	1.3163729942334306	6.617239912451121e-7	1.0673850343052987e-5	TRUE
PODXL	56.84173191491174	5.9511161454293395	0.6435539091752432	4.3854981415540476e-21	1.808893865519114e-18	TRUE
LINC01139	5.0577156081299295	5.9498416893195545	1.3338379843791515	1.2071765948743448e-6	1.7940236261419477e-5	TRUE
RBP4	39.093925257003015	5.936335427404746	0.7805278084326234	9.1781590023133e-15	1.0560196523661634e-12	TRUE
COL6A3	197.64950000646587	5.935028212354176	0.6219317706383528	3.2172578841384234e-22	1.6745827286940494e-19	TRUE
SCARA3	9.234336700269735	5.93269655260225	0.9304533474580347	9.241542116308047e-12	5.220396697793546e-10	TRUE
PTH1R	13.09748945628532	5.918969794985474	0.9014823295643519	9.764239774786563e-12	5.487301946442392e-10	TRUE
DLX6	2.0494699587138374	5.918025189866666	1.25320155833429	1.4765606116916568e-8	3.743877701130129e-7	TRUE
CTGF	106.35245934946944	5.913846834563047	0.8058713165286181	5.876021148427791e-14	5.352320763574165e-12	TRUE
C1QTNF1	23.977809137633248	5.901868159131593	0.7738695976264408	5.172035507495317e-15	6.246733051345588e-13	TRUE
RMRP	58.573591392209494	5.901445509129649	0.7221136725012087	6.855377586587144e-17	1.2919431846584616e-14	TRUE
